mae: 3.932891663696205: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.4355025403163633: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.3411741712116676: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 3.628659903953991: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.248070838486274: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.23236882264289: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 4.734063070459773: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.276971867036506: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.09101771328769: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 3.919394685923499: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.4650561653755254: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.3107238961630814: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 3.657525664018114: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.242444711209924: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.245558666409975: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 4.699010730435464: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.23526449857316: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.084517445075829: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 3.9068677754340095: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 1, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
